trick_name,source,proposed_formula,formula_status,add_status,topology_status,blocker_type,blocker_description,recommended_next_step,wave2_dependency,safe_to_publish_observationally,coverage_tier,notes
Grifter,footbagmoves,Reverse Drifter,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Grifter (same side),footbagmoves,Reverse Drifter,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Gyro Clipper,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Gyro Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Gyro Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Icon,footbagmoves,Inspinning Legover,observational_formula,external_only,unknown,partial_vocabulary_recognition,some tokens IFPA-unrecognized: inspinning,curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Inspinning Clipper,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Inspinning Osis,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Legeater,footbagmoves,Quantum Pickup,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Magellan,footbagmoves,pixie legover,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Merkon,footbagmoves,spinning legover,exact_formula,stable,unknown,none,stable curator-approved chain reading,no_action,false,false,tier_a_canonical_exact,
Nallegam,footbagmoves,Fairy Pickup (same side),policy_dependent_formula,external_only,structurally_placed,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),queue_post_wave2,true,true,tier_c_observational,structurally clean but mentions Wave-2 operator (fairy/barraging/blurry)
Osis (far),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Osis (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pandora`s Box,footbagmoves,Gyro Pickup,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Parallax,footbagmoves,Gyro Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
Paste,footbagmoves,Pixie Pickup,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Pdx Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pdx Mirage,footbagmoves,paradox mirage,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Pixie Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Pickup,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Pixie Pickup (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Illusion,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Illusion (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Legover,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Legover (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Mirage,footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Mirage (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Quantum Pickup (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Rake,footbagmoves,,policy_dependent_formula,external_only,unknown,wave_2_dependency,Slice R flagged pending_red,queue_post_wave2,true,true,tier_c_observational,uses external vocabulary IFPA does not recognize
Reaper,footbagmoves,Far Double Switchover,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Red Ribbon,footbagmoves,Zulu Clipper,observational_formula,external_only,unknown,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: zulu,clipper",curator_review_for_observational_listing,false,false,tier_c_observational,no Slice R classification; structural fit unclear
Reverse Swirl,footbagmoves,,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Reverse Whirl,footbagmoves,,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Reverse Whirl (same side),footbagmoves,,no_formula_available,external_only,unknown,no_external_formula,external source supplies no structural reading,leave_unlisted_or_curator_evidence,false,false,tier_c_observational,external source supplies no structural reading
Revup,footbagmoves,Reverse Swirling Pickup,exact_formula,stable,unknown,none,alias of an existing IFPA canonical row,no_action,false,false,tier_a_canonical_exact,
Scrambled Eggbeater,footbagmoves,Atomic Pickup,exact_formula,stable,unknown,none,covered as canonical base; structural reading is the trick itself,no_action,false,false,tier_a_canonical_exact,
Shmoe,footbagmoves,Stepping Legover,approximate_formula,external_only,unknown,curator_classification_pending,external formula uses only IFPA-known vocabulary; curator review pending,curator_review_for_canonical_or_observational,false,true,tier_b_canonical_pending,no Slice R classification; structural fit unclear
